R(m) Ne(10^19$/m^3) Te(keV)
1.847578 1.835107 4.045551
1.856534 1.850940 3.941841
1.865489 1.865056 3.839064
1.874444 1.877454 3.737222
1.883400 1.888134 3.636313
1.892355 1.897096 3.536338
1.901311 1.904340 3.437296
1.910266 1.909866 3.339188
1.919221 1.913675 3.242014
1.928177 1.915765 3.145773
1.937132 1.916138 3.050466
1.946088 1.914793 2.956093
1.955043 1.911730 2.862653
1.963998 1.906950 2.770147
1.972954 1.900451 2.678575
1.981909 1.892235 2.587937
1.990865 1.882300 2.498232
1.999820 1.870648 2.409460
2.008775 1.857278 2.321623
2.017731 1.842190 2.234719
2.026686 1.825385 2.148749
2.035642 1.816759 2.062738
2.044597 1.814846 1.976227
2.053552 1.812933 1.889716
2.062508 1.811020 1.803205
2.071463 1.809107 1.716694
2.080419 1.807194 1.630183
2.089374 1.805281 1.543671
2.098329 1.803368 1.457160
2.107285 1.801454 1.370649
2.116240 1.799539 1.284138
2.125196 1.797622 1.197627
2.134151 1.795699 1.111116
2.143106 1.793758 1.024604
2.152062 1.791777 0.938093
2.161017 1.789689 0.851582
2.169973 1.787332 0.765071
2.178928 1.784293 0.678560
2.187883 1.779527 0.592048
2.196839 1.770407 0.505531
2.205794 1.750441 0.418967
2.214750 1.704221 0.332009
2.223705 1.598830 0.242069
2.232660 1.380934 0.136298
2.241616 1.017964 0.030176
2.250571 0.589899 0.007223
2.259527 0.251125 0.007735
2.268482 0.058121 0.008133
2.277437 0.000000 0.008202
2.286393 0.000000 0.008212
